time,temperature_2m_max,temperature_2m_min,precipitation_sum,lokasi,Tahun
2017-11-16,28.4,25.0,3.2,Makassar,2017
2017-11-17,30.0,25.8,0.6,Makassar,2017
2017-11-18,30.2,24.5,9.0,Makassar,2017
2017-11-19,29.8,25.1,15.5,Makassar,2017
2017-11-20,28.3,25.1,3.8,Makassar,2017
2017-11-21,28.2,24.6,32.2,Makassar,2017
2017-11-22,27.4,24.8,8.5,Makassar,2017
2017-11-23,30.4,23.8,0.0,Makassar,2017
2017-11-24,28.6,25.2,7.4,Makassar,2017
2017-11-25,27.9,25.3,9.2,Makassar,2017
2017-11-26,29.4,25.5,9.1,Makassar,2017
2017-11-27,29.1,25.2,10.1,Makassar,2017
2017-11-28,28.6,24.0,73.1,Makassar,2017
2017-11-29,28.5,24.7,12.9,Makassar,2017
2017-11-30,29.1,25.1,17.1,Makassar,2017
2017-12-01,27.3,24.8,10.5,Makassar,2017
2017-12-02,30.4,24.9,0.5,Makassar,2017
2017-12-03,31.2,24.1,0.0,Makassar,2017
2017-12-04,30.7,24.9,0.0,Makassar,2017
2017-12-05,30.1,25.1,4.4,Makassar,2017
2017-12-06,30.0,25.5,3.6,Makassar,2017
2017-12-07,29.1,24.8,4.0,Makassar,2017
2017-12-08,29.3,25.0,7.6,Makassar,2017
2017-12-09,28.2,24.5,6.1,Makassar,2017
2017-12-10,29.0,24.9,39.5,Makassar,2017
2017-12-11,29.2,23.9,3.2,Makassar,2017
2017-12-12,29.2,25.4,6.8,Makassar,2017
2017-12-13,28.4,24.5,14.1,Makassar,2017
2017-12-14,28.4,24.5,9.3,Makassar,2017
2017-12-15,28.3,23.6,11.2,Makassar,2017
2017-12-16,28.0,24.5,13.7,Makassar,2017
2017-12-17,28.4,24.4,14.0,Makassar,2017
2017-12-18,27.4,24.5,32.5,Makassar,2017
2017-12-19,27.2,24.3,40.9,Makassar,2017
2017-12-20,25.5,23.3,78.9,Makassar,2017
2017-12-21,25.6,24.0,92.8,Makassar,2017
2017-12-22,26.5,23.3,41.1,Makassar,2017
2017-12-23,27.5,24.2,22.0,Makassar,2017
2017-12-24,29.8,24.8,3.3,Makassar,2017
2017-12-25,29.9,24.0,3.0,Makassar,2017
2017-12-26,29.4,25.0,14.1,Makassar,2017
2017-12-27,27.7,24.5,10.6,Makassar,2017
2017-12-28,28.1,24.6,8.2,Makassar,2017
2017-12-29,30.1,24.1,0.2,Makassar,2017
2017-12-30,29.1,24.4,6.2,Makassar,2017
2017-12-31,28.1,24.5,4.5,Makassar,2017
2018-01-01,29.3,24.2,1.5,Makassar,2018
2018-01-02,29.8,24.6,6.0,Makassar,2018
2018-01-03,28.9,24.8,1.0,Makassar,2018
2018-01-04,29.0,24.6,5.7,Makassar,2018
2018-01-05,28.7,24.7,4.7,Makassar,2018
2018-01-06,28.9,24.3,7.2,Makassar,2018
2018-01-07,28.2,24.8,12.7,Makassar,2018
2018-01-08,28.0,24.2,2.3,Makassar,2018
2018-01-09,28.6,24.5,1.2,Makassar,2018
2018-01-10,27.9,24.4,10.2,Makassar,2018
2018-01-11,27.7,24.0,59.5,Makassar,2018
2018-01-12,26.5,24.6,54.8,Makassar,2018
2018-01-13,28.5,23.1,8.0,Makassar,2018
2018-01-14,26.7,23.5,11.2,Makassar,2018
2018-01-15,26.9,23.9,25.0,Makassar,2018
2018-01-16,25.8,23.5,52.6,Makassar,2018
2018-01-17,26.8,24.2,34.0,Makassar,2018
2018-01-18,28.0,24.0,4.0,Makassar,2018
2018-01-19,27.5,24.1,17.0,Makassar,2018
2018-01-20,26.6,24.6,36.5,Makassar,2018
2018-01-21,28.4,24.9,28.4,Makassar,2018
2018-01-22,28.5,24.4,24.2,Makassar,2018
2018-01-23,29.2,23.9,1.8,Makassar,2018
2018-01-24,29.2,24.6,4.7,Makassar,2018
2018-01-25,29.1,24.9,14.8,Makassar,2018
2018-01-26,29.1,25.1,22.8,Makassar,2018
2018-01-27,29.8,25.8,6.4,Makassar,2018
2018-01-28,29.6,25.8,2.1,Makassar,2018
2018-01-29,30.3,27.1,0.6,Makassar,2018
2018-01-30,29.0,25.5,30.0,Makassar,2018
